Eval Time,F1 Score,Expression
6.965939999965485,0.0,"(((max(past_values(V16, 10)) - mean(past_values(V10, 10))) - (Amount + (V8 - V6))) - (min(past_values(V17, 6)) + max(past_values(V7, 6))))"
0.3821579000214115,0.10526315789473684,V18
7.476947300019674,0.0,"(((V3 - mean(past_values(V17, 7))) + max(past_values(V1, 10))) * ((min(past_values(V8, 6)) * mean(past_values(V9, 9))) - ((V23 + V26) - V8)))"
4.331437699962407,0.0,"((max(past_values(V26, 10)) - mean(past_values(V2, 6))) - max(past_values(V14, 10)))"
0.36823439999716356,0.06666666666666667,V9
1.973966199962888,0.0,"(mean(past_values(V8, 6)) - V20)"
0.37672420003218576,0.0,V8
4.225589899986517,0.0,"(V10 * (mean(past_values(V18, 10)) + (max(past_values(V23, 5)) * (V7 + V28))))"
1.3999322999734432,0.0,"max(past_values(V26, 8))"
4.8123324000043795,0.0,"((max(past_values(V5, 5)) * V11) + (((V18 * V10) - (V9 + V21)) + max(past_values(V2, 10))))"
1.391220899997279,0.0,"max(past_values(V14, 6))"
1.391220899997279,0.0,"max(past_values(V14, 6))"
0.372054300038144,0.0,V28
1.381156200019177,0.0,"min(past_values(V21, 9))"
5.589509699959308,0.0,"(min(past_values(V19, 7)) - (max(past_values(V19, 10)) * (max(past_values(V21, 8)) - min(past_values(V6, 10)))))"
5.905517900013365,0.0,"(mean(past_values(V13, 10)) - ((V24 + mean(past_values(V5, 10))) * ((V16 + V6) - min(past_values(V12, 9)))))"
1.3916739999549463,0.0,"max(past_values(V11, 5))"
4.141079899971373,0.0,"(max(past_values(V3, 10)) * (max(past_values(V13, 10)) + max(past_values(V8, 8))))"
1.391220899997279,0.0,"max(past_values(V14, 6))"
1.393901499977801,0.0,"max(past_values(V8, 5))"
1.3803435000008903,0.0,"min(past_values(V7, 10))"
0.3821579000214115,0.10526315789473684,V18
0.3754198999959044,0.0,V13
5.876624499971513,0.0,"(mean(past_values(V1, 5)) + (max(past_values(V28, 7)) - (max(past_values(V23, 9)) - mean(past_values(V12, 10)))))"
4.303061300015543,0.0,"((max(past_values(V18, 10)) - (V22 * (V5 - V11))) + mean(past_values(V14, 10)))"
0.3935180000262335,0.05714285714285714,V21
3.911453499982599,0.0,"((V13 * (mean(past_values(V16, 6)) - V11)) + min(past_values(V7, 6)))"
1.391194199968595,0.0,"min(past_values(V22, 9))"
3.0084019000059925,0.0,"(max(past_values(V16, 8)) - mean(past_values(V15, 10)))"
0.36154370004078373,0.0,V24
0.37672420003218576,0.0,V8
