Eval Time,TPR Test,TPR Test Diff,Expression,Num Operations,Generation
1.7311991999740712,0.3459715639810427,0.0118483412322275,bank_months_count,0,0
1.5782771999947727,0.3246445497630332,-0.009478672985781977,device_os_windows,0,0
1.5411656000069343,0.3459715639810427,0.0118483412322275,bank_months_count,0,0
1.5809195000329055,0.3222748815165877,-0.0118483412322275,prev_address_months_count,0,0
1.6009299000143073,0.32701421800947866,-0.007109004739336511,employment_status_CE,0,0
1.6810125999618322,0.35308056872037913,0.018957345971563955,session_length_in_minutes,0,0
1.7002164000296034,0.33649289099526064,0.0023696682464454666,current_address_months_count,0,0
1.6833794000558555,0.33649289099526064,0.0023696682464454666,velocity_6h,0,0
1.7391163000138476,0.3341232227488152,0.0,employment_status_CF,0,0
1.6171383999753743,0.36018957345971564,0.026066350710900466,source_INTERNET,0,0
1.746649399981834,0.3459715639810427,0.0118483412322275,velocity_4w,0,0
1.6247058000299148,0.31990521327014215,-0.014218009478673022,(housing_status_BB + device_os_windows),1,0
1.6916036999900825,0.35545023696682465,0.021327014218009477,customer_age,0,0
1.6592820000369102,0.3341232227488152,0.0,(intended_balcon_amount + device_os_linux),1,0
1.6582294999971054,0.35071090047393366,0.016587677725118488,days_since_request,0,0
1.6552576000103727,0.3293838862559242,-0.004739336492890989,velocity_24h,0,0
1.8826066000037827,0.3412322274881517,0.007109004739336511,device_os_x11,0,0
1.7078623999841511,0.31990521327014215,-0.014218009478673022,(employment_status_CA * payment_type_AC),1,0
1.7170087000122294,0.3459715639810427,0.0118483412322275,employment_status_CA,0,0
1.5109908999875188,0.3246445497630332,-0.009478672985781977,device_os_windows,0,0
1.6397565999650396,0.35308056872037913,0.018957345971563955,session_length_in_minutes,0,0
1.5842106000054628,0.3459715639810427,0.0118483412322275,employment_status_CA,0,0
1.5407801999826916,0.3412322274881517,0.007109004739336511,housing_status_BB,0,0
1.6268856000388041,0.35071090047393366,0.016587677725118488,employment_status_CD,0,0
1.5591194999869913,0.34360189573459715,0.009478672985781977,foreign_request,0,0
1.5411656000069343,0.3459715639810427,0.0118483412322275,bank_months_count,0,1
1.5800602000090294,0.35545023696682465,0.021327014218009477,(employment_status_CC - device_os_windows),1,1
1.5329270999645814,0.34834123222748814,0.014218009478672966,housing_status_BD,0,1
1.5275986999622546,0.31516587677725116,-0.01895734597156401,income,0,1
1.5182697999989614,0.34834123222748814,0.014218009478672966,device_os_linux,0,1
1.582684499968309,0.34834123222748814,0.014218009478672966,housing_status_BD,0,1
1.5207383999950252,0.3222748815165877,-0.0118483412322275,email_is_free,0,1
1.573858099989593,0.3459715639810427,0.0118483412322275,employment_status_CA,0,1
1.6417383000371046,0.3222748815165877,-0.0118483412322275,date_of_birth_distinct_emails_4w,0,1
1.7087930999696255,0.32701421800947866,-0.007109004739336511,housing_status_BG,0,1
1.5142611999763176,0.34834123222748814,0.014218009478672966,housing_status_BD,0,1
1.7194397000130266,0.35545023696682465,0.021327014218009477,source_TELEAPP,0,1
1.6366555000422522,0.34834123222748814,0.014218009478672966,housing_status_BD,0,1
